岗位名称,公司名称,薪资,岗位描述,投递要求,工作地点,学历,工作时长,实习时长
前端开发实习生,哔哩哔哩,200-400/天,工作职责:1、负责哔哩哔哩商业化相关平台与产品的前端开发工作；2、协同产品及服务端完成整体项目评审、开发、测试、上线工作；工作要求:1、具备扎实的计算机基础知识；2、熟悉JS，CSS3，HTML5，DOM、协议、安全、网络等前端开发技术；3、对主流前端框架（React\Vue\Angular等）至少一种有应用并理解其设计原理；4、熟悉前端开发调试、脚手架等工具；5、有责任心，良好的沟通协作能力；6、24届及以后毕业，每周至少实习4天。,投递要求：简历要求：中文 英文截止日期：,政立路489号国正中心1号楼7楼,本科,4天／周,实习6个月
前端开发实习生,德勤华东,120-150/天,德勤分析研究所是一个卓越中心，能够在德勤的所有职能中使用分析:咨询、企业风险服务、财务咨询服务、税务和审计。今天的商业环境产生了大量的数据和信息，几乎所有这些信息都被捕获和存储在计算机的形式。DAI帮助业务、财务和风险管理人员理解这些电子数据，并将其放入上下文。我们的客户包括银行、保险、制造、电信、技术、能源和资源等行业的最大公司。作为德勤分析学院的实习生，你将会1. 与后端工程师和产品经理合作，为内部应用开发易于使用和美观的前端页面2. 研究前端新技术，并将其应用到实际项目中3.参与并领导技术框架的选择资格:1. 本科及以上学历，计算机、交互设计或艺术设计相关专业2. 扎实的HTML， CSS， Javascript技能。3.熟练掌握React/Nextjs/Vue等主流前端框架4. 掌握任何后端语言者优先5. 熟悉Linux操作系统，熟悉前端开发工具，如Webpack6. 开放源码项目或贡献是首选7. 能阅读英文文件者优先8. 时刻关注相关领域新技术和新知识的优先性,投递要求：简历要求：中文截止日期：,上海市/上海市/浦东新区外滩中心,本科,5天／周,实习3个月
前端开发实习生,ZStack,200-250/天,岗位职责：负责ZStack管理界面的开发工作&semi;根据需求，设计并实现云计算系统管理界面的前端和后端相关功能&semi;岗位要求：本科/硕士，通信、计算机等相关专业&semi;熟悉Javascript语言&semi;熟悉CSS布局&semi;熟悉Vue.js、ReactJS、AngularJS等现代前端框架中的一种&semi;了解git版本控制系统&semi;具备较强的问题分析能力和团队合作能力&semi;,投递要求：简历要求：中文截止日期：,上海市闵行区东川路555号紫竹科技园4号楼5楼,本科,5天／周,实习6个月
前端开发工程师,名凡企业,150-300/天,鸣熙职位职位职责- 设计，实现并维护自动化交易系统的前端架构- 与后端开发工程师合作设计简洁易用的API- 撰写前端架构开发文档职位要求- 较强的HTML5，CSS3和JavaScript（ES6，ES7）开发能力- 熟练掌握至少一种主流前端框架（例如Vue.js，React），最好是Vue.js- 看得懂英文的开发文档，最好有英语六级证书-熟悉python的django或者flask这两个框架，有flask开发监控系统经验优先考虑- 了解如何使用JavaScript模块打包器（例如webpack）- 了解如何使用RESTful API和JSON加分项- 有Linux环境下开发经验- 熟练掌握Git的使用-熟悉Golang语言， 基础扎实，1年以上Golang语言使用开发经验者，有大型项目经验优先 ；- 了解Sass或者Stylus- 了解如何开发前端框架的单元测试- 了解如何在主流HTTP服务器上（例如Nginx）上部署前端框架- 了解网页美工设计,投递要求：简历要求：中文截止日期：,上海虹口区东长治路359号双狮汇大厦B座18层,本科,3天／周,实习3个月
前端开发工程师,广联达,150-200/天,岗位职责：1、协助分布式云服务前端动态WEB的技术方案设计，代码编写；2、对前端技术进行持续演进，对前端框架进行持续重构；3、前端样式和脚本的模块设计及优化；4、配合后台开发人员完成项目联调；5、配合测试人员及运营人员完成系统测试及产品上线。任职要求：1、2023年及以后学生，本科及以上学历，计算机软件相关专业；硕博优先；2、热爱编程，基础扎实，熟悉操作系统、算法、数据结构、网络及数据库相关知识；3、至少熟练掌握一种编程语言，如：JavaScript/HTML等；4、富有创新精神，爱好解决具有挑战性的问题；5、具有良好的团队意识与责任心。,投递要求：简历要求：中文截止日期：,上海市闵行区申虹路666弄2号楼广联达,本科,4天／周,实习4个月
前端开发实习生,那一科技,200-300/天,上海那一科技有限公司成立于 2021 年 2 月，创始团队来自 Google、Facebook、Amazon 等知名企业，通过应用业界领先的软件工程、静态程序分析、操作系统、人工智能等方向的最新研究成果，为全球中小企业提供统一的技术基础设施（Technical Infrastructure）服务，使客户可以集中资源满足其业务层面的需求。目前我们的产品包括代码审查工具、代码搜索工具、代码实时保护系统、远程构建系统、统一身份认证系统等，处于早期的产品研发阶段，成长机会丰富。我们非常注重对实习生的培养，实习任务都是真实产品中的重要组成部分，可以学习和掌握最前沿的技术和知识，获得独立负责完整项目的锻炼机会。实习期结束后，我们可以提供转正机会，或推荐至适合学生发展的其他公司或高校。根据产品需求、设计稿，开发公司核心产品（包括但不限于 Code Review、Code Search 等）的前端组件、页面布局算法等。岗位要求：• 熟悉 React 框架• 熟练使用 TypeScript 或相关工具链• 常用数据结构和算法• git 基本操作• 优秀的英文沟通能力• 扎实的专业基础实习生每周工作 4-5 天，弹性工作制，不打卡，目前一般 9-5 或 10-6实习生的统一工资标准为 200 元/天，考评超出预期的，另有 20-50%%%% 奖金外地或通勤不便的，提供房补或宿舍提供午餐，随时有零食、饮料可以免费自取,投递要求：简历要求：不限截止日期：,上海市闵行区零号湾1号楼4层,本科,4天／周,实习3个月
前端开发实习生,标准国际银行,150/天,工作职责：1、WEB端和移动端应用产品开发与维护；2、与后端开发工程师共同协作，完成产品界面和功能的实现。岗位要求：1、本科及以上学历，软件相关专业；2、在学校或实习期间有前端经验，会Vue；3、有较强的学习能力，团队沟通协作能力。,投递要求：简历要求：中文截止日期：,控江路1555号上海信息技术大厦2608,本科,5天／周,实习3个月
前端开发实习生,众安保险,200-300/天,"【岗位职责】1.参与前端技术方案制定、技术评审、代码编写、代码质量管控、技术交流分享等；2.与设计师、产品沟通，快速精准分析需求，推进项目进度；3.对现有系统架构进行优化、功能迭代及其他维护工作。【任职资格】1.了解 HTML，CSS，javascript，熟练掌握 ES6/7/8 新特性，对前端编程规范有足够认识；2.了解移动端 web 开发以及调试相关技能，对 web 性能优化有一定的经验；3.了解至少一种前端开发框架，包括但不限于 React/Vue，有React开发经验的优先 ；4.有typescript开发经验的优先；5.熟悉 Nodejs 开发， 并有使用过相关框架（ express/koa 等）的项目经验，熟练使用前端自动化构建工具；6.良好的沟通及表达能力，对新技术充满好奇心。【在这里你能获得什么】1．一个自由思辨，没有天花板的工作殿堂；2．一个开放、年轻的自我驱动、温暖、靠谱、技术氛围浓厚的团队；3．具有竞争力的薪资结构；五险一金、补充公积金（绩优）、年度体检、餐费补贴、弹性工时、生日福利、特殊节假日福利、家人商业保险、每日下午茶、 舒适有活力的办公环境（乒乓球比赛、知识分享大赛各种活动）",投递要求：简历要求：中文截止日期：,上海市/上海市/黄浦区众安保险圆明园路219号1号楼,不限,5天／周,实习4个月
前端开发实习生,smile中国,200/天,Front-end Assistant Development Engineer（Web前端助理工程师）Responsibilities·Responsible for assisting the front-end engineer with all front-end work， mainly on the Web side and some small components on the mobile side· Have some understanding of RESTful interfaces and can use Ajax for simple data manipulation· Gathering customer feedback based on site implementation and choose proper technical solution for problem-solving· Design and build high-quality code that is flexible， reusable， with great performance（pluses）职责· 负责协助前端工程师所有的前端工作，主要是web端，还有少量的移动端的一些小组件· 对RESTful接口有一定了解，可以利用Ajax进行简单的数据操作· 收集客户、用户行为的反馈，对前端效果进行选型和调整优化· 设计和实现高质量、能够重用的、结构化的、高性能的代码（加分项）Qualifications· Musto Bachelors degree in Computer Science， Information Technology， or a related fieldo Experience with React， and one of the following frontend framework including React， Angular， or Vue· Nice-to-haveso Proficient in using HTML5 and CSS3 to complete the page layouto Familiar with JavaScript syntax， some understanding of ES6/7/8 syntaxo Good code habits and readability.o Use git and other code management tools.o Can read and write in English，can speak English is an advantage要求· 必备要求o 本科学历，计算机科学、信息技术或者相关专业o 有使用以下一种前端框架，React、Angular、Vue· Nice to haveo 能够熟练使用HTML5、CSS3完成页面布局。o 熟悉JavaScript语法，对es6/7/8,投递要求：简历要求：中文截止日期：,上海市/上海市/浦东新区上海信息大厦民生路1403号,本科,5天／周,实习6个月
前端开发实习生,哔哩哔哩,250-300/天,工作职责:1. 参与评审项目需求，与产品保持信息同步，执行前端研发方案，确保项目准时交付2. 后续迭代不断完善系统，做到可用，易用，有用，保证迭代开发中的速度与质量3. 支持、跟踪、解决测试过程或者线上发现的前端问题工作要求:1. 本科学历及以上，计算机相关专业优先；2. 熟悉 JavaScript/HTML5/CSS3 等相关前端开发技术；3. 了解 Vue 及其生态体系，有上手开发经验；4. 对页面结构和布局、Web语义化等有深刻理解，能解决各种浏览器兼容性问题；5. 有模块化 / 组件化开发思维，对写出高质量可复用的代码有一定的追求；6. 较强责任心、学习能力强、善于沟通，敢于接受压力和挑战，能够独立完成任务攻关，有良好的团队合作精神。,投递要求：简历要求：中文 英文截止日期：,政立路485号国正中心3号楼,本科,4天／周,实习6个月
前端开发实习生,九坤投资,800-1000/天,岗位职责：参与公司各个Web系统的前端业务功能开发；参与公司各个Web系统的图形化展示；参与公司各个Web系统的交互流程的实现。 任职要求：全日制重点院校本科及以上学历，计算机、电子、自动化等专业；熟悉Web标准与前端三层分离思想，会灵活运用结构层的HTML5、表现层的CSS3和行为层的JavaScript。有移动端H5开发经验是加分项；熟悉JavaScript、ES6等脚本语言，能够运用原生JS和jQuery是加分项；喜欢挑战困难，有Geek精神。每周实习3天以上，实习至少6个月起,投递要求：简历要求：中文截止日期：,上海市/上海市/浦东新区,本科,4天／周,实习6个月
前端开发实习生,第四范式,120-180/天,【工作职责】1）参与公司产品的前端开发工作（主要是PC端）2）与设计师沟通，完成设计交互的UI实现；3）与后端开发人员紧密配合，完成项目；4）维护已有线上项目，根据客户需求修改网页。【岗位要求】1）本科以上学历，计算机或软件工程相关专业2023年毕业；2）熟悉Web开发，html/css/javascript；了解Ajax、DOM等前端技术，掌握面向对象编程思想；3）有React（开发为主）、Vue、Angular、JQuery等前端技术使用经验，能独立开发或封装前端组件者优先；4）了解并掌握前后端分离，熟悉前后端数据交互，能与后端人员高效沟通；5）具备良好的学习能力、沟通能力、分析及解决问题能力，优秀的团队协作精神。,投递要求：简历要求：中文截止日期：,上海市/上海市/静安区上海招商局广场成都北路333号,本科,4天／周,实习3个月
前端开发工程师,网达软件,800-1000/天,岗位职责：1.web和移动端前端开发，完成网站性能优化以及提高网页兼容性；2.与后台开发工程师协作，完成操作交互、数据展现。3.与产品经理、设计良好配合，负责Web前端系统分析、优化工作。任职要求：1.本科及以上学历，计算机相关专业；2.具备HTML、CSS、JS(包含ES6)、XML、JSON等相关技术知识，了解HTTP协议；3.对于Jquery/Vue/React/Angular技术中的一种及MVC、MVVM等前端开发模型有知识储备；4.具备较强的学习能力和解决问题能力，有较强的协调、沟通能力和团队精神；5.211/985院校优先考虑。,投递要求：简历要求：不限截止日期：,上海市浦东新区川桥路409号1号楼,本科,5天／周,实习3个月
前端开发工程师,珀金埃尔默,200/天,QualificationsBachelor’s degree Computer Science，Computer Engineering or equivalent.Work Experience in building web applicationsProficiency in Javascript and atleast one front end Framework (React， Angular， Ember， etc…)Experience building dynamic singlepage applicationsGood sense of UI/UX designExcellentverbal and written communication skills requiredCreativeproblem-solving skillsExcellentwork ethic and desire to learn and take on new challengesKey CompetenciesSupport theevaluation， selection， design， development and maintenance of the platformsExcellentverbal and written communication skills requiredMust be ableto communicate effectively across all levels of the organizationCreativeproblem solving skills and ability to effectively communicate and translatefeedback， needs and solutionsMust havestrong teamwork orientation and the ability to foster collaboration within andacross teamsThoroughunderstanding of and experience with structured software developmentmethodologies including design， development and testing in an Agile environmentExcellent work ethic and strong sense of ownership ofend result,投递要求：简历要求：中文截止日期：,上海张江高科技园区张衡路1670号,本科,5天／周,实习6个月
软件技术支持工程师,迅存科技,150-180/天,职位职责：1. 提供产品售前售后的技术支持，包括演示、安装、培训、验收，帮助客户熟悉使用产品，解决产品使用中的问题；2. 处理回复客户邮件、电话或在线的技术问题；3. 记录、汇总并分析客户提出的各类问题和需求，并反馈到开发组；4. 协助进行软件应用和场景测试，进行bug反馈与跟踪；5. 协助编写技术支持相关文档；职位要求：1. 计算机专业或有相关经验；2. 精通Windows应用；3. 优秀的英文读写能力；4. 熟悉计算机存储行业优先；5. 掌握其它外语优先；6. 有良好的沟通表达能力，善于观察，有独立分析、思考和解决问题的能力；7. 有较快的学习能力，工作细致认真。,投递要求：简历要求： 不限截止日期：,上海浦东新区郭守敬路498号浦东软件园19号楼204,本科,5天／周,实习3个月
IT技术支持Intern,eBay,200-250/天,You have the opportunity to:• Closely work with the latest IT equipment including Apple equipment （MAC book pro and etc)， Digital Signage， Zoom video conference room and etc.• Assist IT team andprovider client support• Draft IT document according to project needs• Complete other administrative tasks in ITSS department• Take part in IT tools developments and testsWhat we expect from you:• Familiar with Windows system， Microsoft Office， MacOS• Positive & logical thinking• Good communication skill in English and Chinese• Attendance: at least 3 working days per week.,投递要求：简历要求：中文截止日期：,上海市/上海市/浦东新区德国中心,本科,5天／周,实习6个月
IT技术支持工程师实习生,DXCTechnology,200-250/天,IT技术支持工程师实习生-上海职责描述：1. 通过电话、Chat及自助网站等形式，为企业用户提供IT技术支持2. 对客户端操作系统及常用应用软件进行 安装、配置，故障检测及排除3. 准确按照流程帮助客户解决账号、电脑软硬件、移动设备、打印机、IP电话等 相关故障问题4. 详细记录工单，对于不能解决的工单， 及时转派到二线团队5. 与客户保持沟通，确保对方了解服务进程并及时处理问题职位要求(23届/24届)：1.专科以上学历，有基础IT知识。具备优秀语言能力；2.了解计算机的软硬件基础3.具备基本的局域网和互联网的知识。4.了解手机和平板电脑APP和基本安全知识5.熟练使用Office365， OneDrive， teams， SharePoint等办公协同工作软件6工作积极主动，有良好的组织协调及沟通能力&semi;7.良好的敬业精神和团队协作能力，有优秀的客户服务意识；8. 倾向想转正的学生9.倾向英语有四级的同学，口语能进行简单沟通实习时间：2022年8月-2023年6月工作地点：上海市静安区南京西路 1601号 越洋国际广场 12 层公司简介DXC Technology（NYSE:DXC）是全球领先且独立端到端IT服务公司，为客户提供强大的下一代IT服务与解决方案。DXCTechnology由惠普公司（HP）的企业服务事业部和美国CSC软件公司在2017年合并成立，在70个国家/地区拥有近6000家企业及公共事业客户，全球超过13万名员工。DXC中国总部位于北京，全国共8个全球交付中心，约2500名本地员工，分布在北京，上海，大连，武汉，青岛，西安等城市，服务于1000多家中国企业客户，是最早获得CMMI5认证的中国企业。DXC 领袖地位和成就·2022年全球财富500强位列207位·Barrons可持续发展最佳企业百强·福布斯2020世界最佳雇主·领导者:IDC MarketScape全球托管安全服务·领导者:NelsonHall 2020高级数字工作场所服务·CRN 2021解决方案提供商500强位列第四·Newsweek的2021年美国最负责任企业之一,投递要求：简历要求：不限截止日期：,上海市/上海市/静安区越洋广场南京西路1601号,本科,5天／周,实习6个月
IT技术支持工程师（实习岗）,富欣信息,150-200/天,岗位职责：1、公司内部IT热线电话支持提供远程桌面和电话及邮件支持&semi;2、微软Windows10、Office 2019等软件故障和熟悉网络拓扑结构；3、办公用台式机、笔记本、网络打印机、办公电话的保修和维修&semi;4、对帐号、应用申请、IT资产配件的申请、发放、回收等一系列管理。职位要求：1、计算机、通讯相关专业（2023届）；2、熟练解决微软Windows10、Office 2019等软件故障和熟悉网络拓扑结构；3、沟通能力强、工作认真负责，能够承受工作压力，英语熟练者佳；4、表现优异者毕业提供转正机会。,投递要求：简历要求：中文截止日期：,宁桥路388号,大专,5天／周,实习6个月
后端网站开发工程师,吉日开世科技,200-300/天,岗位职责：1、负责论坛网站的开发，保证不同浏览器的兼容性，负责用户体验的改善，设计和实现。2、完成网站人才库（简历主数据管理）、科研管理（论文、荣誉管理）、项目合作（合同签订）、活动信息发布（人才论坛活动、圆周讨论会）、专家顾问团队（高校、企业、政府）功能模块的技术方案和系统设计；3、有网站搭建，升级相关项目经验。任职要求：1、本科及以上学历，计算机或相关专业，良好的英文表达能力&semi;2、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低&semi;3、良好的Java等编程语言基础，数据结构和算法基础扎实&semi;熟悉至少一种开源数据库或缓存系统，了解常用 RPC 框架如 GRPC、Thrift 等，了解常用消息中间件如 kafka、ActiveMQ；4、熟悉分布式系统原理，熟练掌握一种以上服务框架和消息中间件者优先&semi;5、熟悉Internet常用协议，如HTTP、TCP/IP；6、有较强的学习能力，有强烈的求知欲、好奇心，能及时关注和学习业界最新技术；7、有高并发服务、微服务设计和实现经验优先，有系统架构设计经验优先；你将收获：1.创新的硕博人才中心平台，颠覆了传统，希望伟大中有你。2.新颖的培养模式与股权激励，你也可以是年轻团队中脱颖而出的领头羊。 3.节假日福利慰问。,投递要求：简历要求：中文截止日期：,上海市/上海市/宝山区沪太路2899弄45号楼3层,本科,3天／周,实习3个月
后端开发实习生（直播）,哔哩哔哩,300-400/天,工作职责1. 负责B站版权音乐服务端开发2. 负责部分服务端基础建设任职要求1. 本科或以上学历，计算机相关专业(非相关专业，需要自学对应课程)2. 热爱计算机编程，基础扎实，算法过关，精通一门编程语言3. 掌握mysql，redis，kafka等基础组件技术4. 了解http，TCP/IP相关网络协议5. 具备较强的逻辑思维能力，表达能力，协作能力6. 有责任心，态度积极向上7. 熟悉go语言加分,投递要求：简历要求：中文截止日期：,上海市/上海市/杨浦区国正中心-3号楼政立路485号,本科,5天／周,实习3个月
后端开发实习生-网关,哔哩哔哩,250-400/天,工作职责:1、参与产品需求评审，与设计师、移动端工程师一起完成产品功能的设计与开发，优化用户体验；2、负责优化后端业务网关模块结构和流程逻辑，做好服务保障工作要求:1、本科及以上学历在读，计算机相关专业优先；可连续出勤3个月，一周可出勤3天及以上优先；2、扎实的数据结构和算法基础加分；3、良好的沟通能力和团队合作能力；4、对新技术保持热情，具备良好的分析、解决问题的能力。,投递要求：简历要求：中文 英文截止日期：,政立路489号国正中心1号楼,本科,4天／周,实习3个月
后端开发工程师（2023）,东亚前海证券,100/天,岗位职责:1、负责后台系统代码设计与开发，使用敏捷产品开发流程来确保功能按时交付；2、深入理解业务需求，使用适当技术手段促进业务的快速高质量落地；3、熟悉JAVA语言及Spring框架开发。 任职要求:1、2023届硕士，经管类、计算机类专业学生优先；2、对证券行业有一定了解和热情，具有证券从业资格证者优先；3、逻辑性强，勇于创新和挑战，做事踏实靠谱；4、实习三个月以上，保证稳定的出勤率，全勤者优先；5、实习表现优异者有留用机会。,投递要求：简历要求：中文截止日期：,上海市浦东新区世纪大道1788号陆家嘴金控广场,硕士,3天／周,实习3个月
Python后端开发实习生,磐御网络,200-400/天,岗位职责：1、熟练掌握Python语言，可进行简单开发工作；2、使用python按需求采集数据并做自动化处理。任职要求：1、熟悉django或者flask框架；2、具有WEB安全基础，精通TCP/HTTP协议；3、熟悉socket编程；4、可实习时长不少于6个月，4-5天/周。你将获得：公司为中电科（CETC）网络空间安全研究院深度合作单位，实习表现优异可向研究院推荐。,投递要求：简历要求：中文截止日期：,上海市杨浦区五角场合生国际中心12楼（磐御网络）；中电科15所、36所的上海研发中心（湾谷科技园A5、A4，复旦江湾校区附近）,本科,4天／周,实习6个月
软件开发工程师（后端）,谷斗科技,150-250/天,岗位职责：1.负责企业级系统平台的后端开发，编写后端设计文档，并与前端沟通协作；2.负责系统数据库设计；3.负责代码的优化和维护，保障运行效率；4.负责系统安装部署。任职资格：1.计算机和软件及其相关专业本科及以上学历；2.独立承担和负责过一个项目的后端设计和开发；3.熟练掌握Java语言、JVM原理和J2EE规范；4.掌握面向对象分析和设计的方法，掌握OOP，掌握设计模式；5.熟练使用Spring（MVC）、Spring Boot和Spring Cloud、mybatis、Junit、Gradle、Git等开源框架和工具；6.熟悉数据库应用和设计，熟练使用主流数据库(Mysql、Oracle、Postgrel)；7.有较强的学习能力，抗压能力较强，有责任心，有较强的团队沟通和协作能力。,投递要求：简历要求：中文截止日期：,呼兰西路100号永谊大厦10楼F座,本科,6天／周,实习12个月
后端PHP开发实习生,芯竹科技,200-250/天,【岗位职责】负责公司产品系统管理后台的开发【任职要求】1. 计算机/软件或其它相关专业，喜欢编程2. 具有一定的后端开发的经验3. 熟悉PHP编程语言，了解HTML/JS编程语言4. 具有良好的独立分析和解决问题的能力5. 实习优秀可转正,投递要求：简历要求：中文截止日期：,上海市静安区沪太路785号新华园A座5019室,本科,5天／周,实习6个月
WEB后端开发工程师,云合智网,300/天,1. Web后端数据模型设计和定义2. Web后端REST API设计和实现3. 熟练使用一种以上流行的Web后端框架：Node.js/Express.js，Python/Tornado，Java/Spring等4. 熟悉OpenAPI/Swagger， GraphQL等5. 熟悉Python语言，numpy/pandas/flask/django等框架：6. 掌握一种以上流行的数据库：RedisDB， MongoDB， MySQL/SQLite3等,投递要求：简历要求：中文截止日期：,上海市徐汇区古美路研祥科技大厦803室,硕士,3天／周,实习6个月
后端C++开发工程师,皓兴科技,400-500/天,岗位职责：1.参与策略研究及交易相关平台的设计和开发；2.根据投研团队的实际需求，设计和开发对应的工具；3.利用软硬件技术优化和加速相关平台和工具；4.紧跟领域前沿，探索新技术，并将其应用至实际场景，提升策略研究效率。岗位要求：1.985/211全日制本科及以上学历，计算机科学、软件工程、通信工程、控制自动化等相关专业；2.熟悉Linux，熟练使用脚本命令和Git等开发工具；3.熟练掌握Python/C/C++中的至少一种编程语言；4.具备扎实的基础知识，如计算机组成、操作系统、计算机网络等；掌握常用算法和数据结构；5.勇于接受挑战，善于发现问题并解决问题，乐于和团队协作且具备高度的责任感。,投递要求：简历要求：中文截止日期：,上海市虹口区吴淞路575号,本科,5天／周,实习3个月
后端开发实习生（电商）,哔哩哔哩,300-400/天,工作职责1、参与B站电商-会员购的交易、魔力赏、商品/库存、供应链等后端业务系统的开发工作。2、从事二次元内容电商应用系统设计与研发工作，包括但不局限于：后端开发、数据报表、取数分析等；任职要求1、计算机相关专业，掌握java、go、C/C++至少一门语言；2、掌握常见的数据结构、了解一种关系型数据库；3、有较好的沟通能力，逻辑清晰，有独立分析和解决问题能力；有强烈的责任心和团队合作精神，能快速主动融入团队。备注：有转正机会。,投递要求：简历要求：中文截止日期：,政立路485号国正中心3号楼,不限,5天／周,实习3个月
